Control1 Control2 Control3 Treatment1 Treatment2 Treatment3
244944_s_at 2190.09662407886 2144.51549078675 1382.65889135654 2207.82144524175 1830.75380880843 1568.29784686435
244945_at 157.299361346542 204.151039884880 24.2384884205910 552.282303518016 93.5240264369965 129.357763219197
244946_at 126.000197044626 123.570502029761 55.4472429683053 222.412243139654 141.360921026611 10.4797858944202
244947_at 89.155169679743 152.193130643041 221.844477951707 143.036211098986 87.2459073167469 8.69917389239626
244948_at 12.8473930430419 232.575622514772 198.98783340271 205.437403127759 4.53341845625836 9.41691770505646
244949_at 54.4535901886021 34.1201033443618 177.365196582230 43.6394242104781 93.3518525889697 117.739562931125
244950_at 232.809899815661 184.886601620851 176.718794387777 458.249367151257 123.156450082809 124.642963677179
244951_s_at 557.81032541692 709.282664075221 128.887328338842 629.165631921281 436.750877018605 215.432501241683
244952_at 77.5493263728478 127.479393191973 200.519704211464 30.5303627043306 51.4988249392182 115.343369880841
244953_s_at 218.966262580452 287.912658118366 85.1407773824125 257.54864410581 156.725577205879 176.885977495103
244954_s_at 35.8652666994148 98.6478039442848 151.200968036688 20.3502548147098 81.4809907674912 81.1302006249645
244955_at 39.1044037706453 36.0223642991151 80.5639409263376 40.3868103371579 12.3275157882467 126.116937289996
244956_s_at 95.0244949201824 40.6273171245567 28.0332475026726 459.475344264206 92.2585108560056 24.0234532459291
244957_at 107.615560224413 91.4173112867042 51.2948292411579 233.249698516018 83.2430590563108 36.3118267021638
244958_at 51.027558037108 16.0861099443211 29.1149232347263 76.7156678296739 38.7103510324851 97.4789146066623
244959_s_at 620.485775551175 507.273871494233 564.202410234638 746.83317465422 465.809512231657 495.340525540696
244960_at 3591.40395091175 4353.74380915099 2791.42978780455 3108.44758842793 3435.66885512774 2799.26845413481
244961_at 3238.59319325656 3236.30231572391 1976.24644567262 3334.59706615807 3066.23422067293 2644.38673532612
244962_at 2387.36542918292 1872.28150394293 1282.50464131478 2160.7535355358 1830.69391353782 2046.06225942878
244963_at 849.068594744148 968.626512201847 1011.12875869473 599.301505173459 847.0218185921 840.389225301158
244964_at 500.36009248476 348.908231669279 490.654022735542 607.652695080866 478.95322545634 427.850435765937
244965_at 357.791107974381 357.205279015899 275.514422168886 496.634975763363 410.688546156087 355.665754753508
244966_at 175.557530023694 18.6831051044036 286.584995255157 209.634409844941 113.171554706681 94.4166972641552
244967_at 4614.57648198956 5888.12723374761 3230.15437582056 4964.73207825456 2733.74775986242 5396.73359564004
244968_at 2483.24600659754 1415.07100568995 1832.49898291525 1334.39224158425 2098.1089781336 2126.28420231464
244969_at 1305.64401866279 1400.75229432269 795.038211436275 1002.39021096853 904.447422465151 749.967640104491
244970_at 472.631732748911 478.816950469096 142.474594097777 529.767462882745 367.559939637070 383.716378971347
244971_at 7971.26895272875 5573.49878794293 4390.08752995757 6064.5185056088 6878.3040129453 6811.98731039617
244972_at 369.070409988834 164.433590066925 25.8252707169086 134.545143669538 268.201419293170 360.047655514291
244973_at 223.759872844578 333.237797511798 212.105575356703 314.3280239303 186.922711791859 77.3971555738036
244974_at 122.970458583028 258.230882392244 164.080267930003 182.522957828269 62.0653451571667 125.105077943661
244975_at 1103.22989473367 1354.31746042636 816.846966464394 1426.57251410776 997.33144669766 1016.16689845716
244976_at 7595.51535171943 6481.3068481198 4407.28284837149 5484.33570890573 6255.20921378456 7209.76564148646
